brand,sku,name,color
valden,MC003-SLT-M,Pear Belay,Slate
valden,MC003-SLT-L,Pear Belay,Slate
valden,MC003-SLT-XL,Pear Belay,Slate
valden,MC003-FNV-XS,Pear Belay,Frost Navy
valden,MC003-FNV-S,Pear Belay,Frost Navy
valden,MC003-FNV-M,Pear Belay,Frost Navy
valden,MC003-FNV-L,Pear Belay,Frost Navy
valden,MC003-FNV-XL,Pear Belay,Frost Navy
valden,MAS001-ICB-XS,Expedition Folding Shovel,Icefall Blue
valden,MAS001-ICB-S,Expedition Folding Shovel,Icefall Blue
valden,MAS001-ICB-M,Expedition Folding Shovel,Icefall Blue
valden,MAS001-ICB-L,Expedition Folding Shovel,Icefall Blue
valden,MAS001-ICB-XL,Expedition Folding Shovel,Icefall Blue
valden,MAS001-GLW-XS,Expedition Folding Shovel,Glacier White
valden,MAS001-GLW-S,Expedition Folding Shovel,Glacier White
valden,MAS001-GLW-M,Expedition Folding Shovel,Glacier White
valden,MAS001-GLW-L,Expedition Folding Shovel,Glacier White
valden,MAS001-GLW-XL,Expedition Folding Shovel,Glacier White
valden,MM001-OBS-XS,Lightwire 12-Point,Obsidian
valden,MM001-OBS-S,Lightwire 12-Point,Obsidian
valden,MM001-OBS-M,Lightwire 12-Point,Obsidian
valden,MM001-OBS-L,Lightwire 12-Point,Obsidian
valden,MM001-OBS-XL,Lightwire 12-Point,Obsidian
valden,MM001-EOR-XS,Lightwire 12-Point,Ember Orange
valden,MM001-EOR-S,Lightwire 12-Point,Ember Orange
valden,MM001-EOR-M,Lightwire 12-Point,Ember Orange
valden,MM001-EOR-L,Lightwire 12-Point,Ember Orange
valden,EKF018-OBS-XS,Traverse 112,Obsidian
valden,MC004-SLT-S,Mini Keylock,Slate
valden,MC004-SLT-M,Mini Keylock,Slate
valden,MC004-SLT-L,Mini Keylock,Slate
valden,MC004-SLT-XL,Mini Keylock,Slate
valden,MC004-SRD-XS,Mini Keylock,Summit Red
valden,MC004-SRD-S,Mini Keylock,Summit Red
valden,MC004-SRD-M,Mini Keylock,Summit Red
valden,MC004-SRD-L,Mini Keylock,Summit Red
valden,MC004-SRD-XL,Mini Keylock,Summit Red
valden,MC004-GLW-XS,Mini Keylock,Glacier White
valden,MC004-GLW-S,Mini Keylock,Glacier White
valden,MC004-GLW-M,Mini Keylock,Glacier White
valden,MC004-GLW-L,Mini Keylock,Glacier White
valden,MC004-GLW-XL,Mini Keylock,Glacier White
valden,MC005-ICB-XS,Quickdraw 2-Pack,Icefall Blue
valden,MC005-ICB-S,Quickdraw 2-Pack,Icefall Blue
valden,MC005-ICB-M,Quickdraw 2-Pack,Icefall Blue
valden,MC005-ICB-L,Quickdraw 2-Pack,Icefall Blue
valden,MC005-ICB-XL,Quickdraw 2-Pack,Icefall Blue
valden,MC005-OBS-XS,Quickdraw 2-Pack,Obsidian
valden,MC005-OBS-S,Quickdraw 2-Pack,Obsidian
valden,MC005-OBS-M,Quickdraw 2-Pack,Obsidian
valden,MC005-OBS-L,Quickdraw 2-Pack,Obsidian
valden,MC005-OBS-XL,Quickdraw 2-Pack,Obsidian
valden,MC005-DWD-XS,Quickdraw 2-Pack,Driftwood
valden,MC005-DWD-S,Quickdraw 2-Pack,Driftwood
valden,MC005-DWD-M,Quickdraw 2-Pack,Driftwood
valden,MC005-DWD-L,Quickdraw 2-Pack,Driftwood
valden,MC005-DWD-XL,Quickdraw 2-Pack,Driftwood
valden,MC006-LGR-XS,Asym D Wire,Larch Green
valden,MC006-LGR-S,Asym D Wire,Larch Green
valden,MC006-LGR-M,Asym D Wire,Larch Green
valden,MC006-LGR-L,Asym D Wire,Larch Green
valden,MC006-LGR-XL,Asym D Wire,Larch Green
valden,MC006-FNV-XS,Asym D Wire,Frost Navy
valden,MC006-FNV-S,Asym D Wire,Frost Navy
valden,EKF011-SLT-L,Drift 110,Slate
valden,MC006-FNV-L,Asym D Wire,Frost Navy
valden,MC006-FNV-XL,Asym D Wire,Frost Navy
valden,MC007-ICB-XS,Screw-Gate Alpine,Icefall Blue
valden,MC007-ICB-S,Screw-Gate Alpine,Icefall Blue
valden,MC007-ICB-M,Screw-Gate Alpine,Icefall Blue
valden,MC007-ICB-L,Screw-Gate Alpine,Icefall Blue
valden,MC007-ICB-XL,Screw-Gate Alpine,Icefall Blue
valden,MC007-GLW-XS,Screw-Gate Alpine,Glacier White
valden,MC007-GLW-S,Screw-Gate Alpine,Glacier White
valden,MC007-GLW-M,Screw-Gate Alpine,Glacier White
valden,MC007-GLW-L,Screw-Gate Alpine,Glacier White
valden,MC007-GLW-XL,Screw-Gate Alpine,Glacier White
valden,AK001-EOR-XS,Fleece-Backed Pullover,Ember Orange
valden,AK001-EOR-S,Fleece-Backed Pullover,Ember Orange
valden,AK001-EOR-M,Fleece-Backed Pullover,Ember Orange
valden,AK001-EOR-L,Fleece-Backed Pullover,Ember Orange
valden,AK001-EOR-XL,Fleece-Backed Pullover,Ember Orange
valden,AK001-OBS-XS,Fleece-Backed Pullover,Obsidian
valden,AK001-OBS-S,Fleece-Backed Pullover,Obsidian
valden,AK001-OBS-M,Fleece-Backed Pullover,Obsidian
valden,AK001-OBS-L,Fleece-Backed Pullover,Obsidian
valden,AK001-OBS-XL,Fleece-Backed Pullover,Obsidian
valden,MC008-FNV-XS,Bent Gate Runner,Frost Navy
valden,MC008-FNV-S,Bent Gate Runner,Frost Navy
valden,MC008-FNV-M,Bent Gate Runner,Frost Navy
valden,MC008-FNV-L,Bent Gate Runner,Frost Navy
valden,MC008-FNV-XL,Bent Gate Runner,Frost Navy
valden,MC008-SLT-XS,Bent Gate Runner,Slate
valden,MC008-SLT-S,Bent Gate Runner,Slate
valden,MC008-SLT-M,Bent Gate Runner,Slate
valden,MC008-SLT-L,Bent Gate Runner,Slate
valden,MC008-SLT-XL,Bent Gate Runner,Slate
valden,MC008-ICB-XS,Bent Gate Runner,Icefall Blue
valden,MC008-ICB-S,Bent Gate Runner,Icefall Blue
valden,MC008-ICB-M,Bent Gate Runner,Icefall Blue
valden,MC008-ICB-L,Bent Gate Runner,Icefall Blue
valden,EKF012-ICB-M,Coreline 104,Icefall Blue
valden,MC008-LGR-XS,Bent Gate Runner,Larch Green
valden,MC008-LGR-S,Bent Gate Runner,Larch Green
valden,MC008-LGR-M,Bent Gate Runner,Larch Green
valden,MC008-LGR-L,Bent Gate Runner,Larch Green
valden,MC008-LGR-XL,Bent Gate Runner,Larch Green
valden,MM001-EOR-XL,Lightwire 12-Point,Ember Orange
valden,MM002-LGR-XS,Youth Flex 10,Larch Green
valden,MM002-LGR-S,Youth Flex 10,Larch Green
valden,MM002-LGR-M,Youth Flex 10,Larch Green
valden,MM002-LGR-L,Youth Flex 10,Larch Green
valden,MM002-LGR-XL,Youth Flex 10,Larch Green
valden,MM002-ICB-XS,Youth Flex 10,Icefall Blue
valden,MM002-ICB-S,Youth Flex 10,Icefall Blue
valden,MM002-ICB-M,Youth Flex 10,Icefall Blue
valden,MM002-ICB-L,Youth Flex 10,Icefall Blue
valden,MM002-ICB-XL,Youth Flex 10,Icefall Blue
valden,MM002-BAS-XS,Youth Flex 10,Basalt Grey
valden,MM002-BAS-S,Youth Flex 10,Basalt Grey
valden,MM002-BAS-M,Youth Flex 10,Basalt Grey
valden,MM002-BAS-L,Youth Flex 10,Basalt Grey
valden,MM002-BAS-XL,Youth Flex 10,Basalt Grey
valden,MM002-OBS-XS,Youth Flex 10,Obsidian
valden,MM002-OBS-S,Youth Flex 10,Obsidian
valden,MM002-OBS-M,Youth Flex 10,Obsidian
valden,MM002-OBS-L,Youth Flex 10,Obsidian
valden,MM002-OBS-XL,Youth Flex 10,Obsidian
valden,MM003-EOR-XS,Touring Hybrid 12,Ember Orange
valden,MM003-EOR-S,Touring Hybrid 12,Ember Orange
valden,MM003-EOR-M,Touring Hybrid 12,Ember Orange
valden,MM003-EOR-L,Touring Hybrid 12,Ember Orange
valden,MM003-EOR-XL,Touring Hybrid 12,Ember Orange
valden,MM003-FNV-XS,Touring Hybrid 12,Frost Navy
valden,MM003-FNV-S,Touring Hybrid 12,Frost Navy
valden,MM003-FNV-M,Touring Hybrid 12,Frost Navy
valden,MM003-FNV-L,Touring Hybrid 12,Frost Navy
valden,MM003-FNV-XL,Touring Hybrid 12,Frost Navy
valden,EKF012-LGR-XS,Coreline 104,Larch Green
valden,MM004-BAS-S,Alpine Race Ultra-Light,Basalt Grey
valden,MM004-BAS-M,Alpine Race Ultra-Light,Basalt Grey
valden,MM004-BAS-L,Alpine Race Ultra-Light,Basalt Grey
valden,MM004-BAS-XL,Alpine Race Ultra-Light,Basalt Grey
valden,MM005-SLT-XS,Mountaineer Classic 12,Slate
valden,MM005-SLT-S,Mountaineer Classic 12,Slate
valden,MM005-SLT-M,Mountaineer Classic 12,Slate
valden,MM005-SLT-L,Mountaineer Classic 12,Slate
valden,MM005-SLT-XL,Mountaineer Classic 12,Slate
valden,MC027-GLW-XS,Auto-Lock HMS,Glacier White
valden,MC027-GLW-S,Auto-Lock HMS,Glacier White
valden,MC027-GLW-M,Auto-Lock HMS,Glacier White
valden,MC027-GLW-L,Auto-Lock HMS,Glacier White
valden,MC027-GLW-XL,Auto-Lock HMS,Glacier White
valden,MC027-SRD-XS,Auto-Lock HMS,Summit Red
valden,MC027-SRD-S,Auto-Lock HMS,Summit Red
valden,MC027-SRD-M,Auto-Lock HMS,Summit Red
valden,MC027-SRD-L,Auto-Lock HMS,Summit Red
valden,MC027-SRD-XL,Auto-Lock HMS,Summit Red
valden,MC027-ICB-XS,Auto-Lock HMS,Icefall Blue
valden,MC027-ICB-S,Auto-Lock HMS,Icefall Blue
valden,MC027-ICB-M,Auto-Lock HMS,Icefall Blue
valden,MC027-ICB-L,Auto-Lock HMS,Icefall Blue
valden,MC027-ICB-XL,Auto-Lock HMS,Icefall Blue
valden,AK002-EOR-XS,Merino Tech Crew,Ember Orange
valden,AK002-EOR-S,Merino Tech Crew,Ember Orange
valden,AK002-EOR-M,Merino Tech Crew,Ember Orange
valden,AK002-EOR-L,Merino Tech Crew,Ember Orange
valden,AK002-EOR-XL,Merino Tech Crew,Ember Orange
valden,AK003-FNV-XS,Wool Blend Hoodie,Frost Navy
valden,AK003-FNV-S,Wool Blend Hoodie,Frost Navy
valden,AK003-FNV-M,Wool Blend Hoodie,Frost Navy
valden,AK003-FNV-L,Wool Blend Hoodie,Frost Navy
valden,AK003-FNV-XL,Wool Blend Hoodie,Frost Navy
valden,AK003-SRD-XS,Wool Blend Hoodie,Summit Red
valden,AK003-SRD-S,Wool Blend Hoodie,Summit Red
valden,EKF019-SRD-XL,Mini Shred,Summit Red
valden,AK003-SRD-L,Wool Blend Hoodie,Summit Red
valden,AK003-SRD-XL,Wool Blend Hoodie,Summit Red
valden,AK003-GLW-XS,Wool Blend Hoodie,Glacier White
valden,AK003-GLW-S,Wool Blend Hoodie,Glacier White
valden,AK003-GLW-M,Wool Blend Hoodie,Glacier White
valden,AK003-GLW-L,Wool Blend Hoodie,Glacier White
valden,AK003-GLW-XL,Wool Blend Hoodie,Glacier White
valden,AK004-SRD-XS,Ribbed Rollneck,Summit Red
valden,AK004-SRD-S,Ribbed Rollneck,Summit Red
valden,AK004-SRD-M,Ribbed Rollneck,Summit Red
valden,AK004-SRD-L,Ribbed Rollneck,Summit Red
valden,AK004-SRD-XL,Ribbed Rollneck,Summit Red
valden,AK004-OBS-XS,Ribbed Rollneck,Obsidian
valden,AK004-OBS-S,Ribbed Rollneck,Obsidian
valden,AK004-OBS-M,Ribbed Rollneck,Obsidian
valden,AK004-OBS-L,Ribbed Rollneck,Obsidian
valden,AK004-OBS-XL,Ribbed Rollneck,Obsidian
valden,AK004-LGR-XS,Ribbed Rollneck,Larch Green
valden,AK004-LGR-S,Ribbed Rollneck,Larch Green
valden,AK004-LGR-M,Ribbed Rollneck,Larch Green
valden,AK004-LGR-L,Ribbed Rollneck,Larch Green
valden,AK004-LGR-XL,Ribbed Rollneck,Larch Green
valden,AK005-BAS-XS,Paneled Knit Vest,Basalt Grey
valden,AK005-BAS-S,Paneled Knit Vest,Basalt Grey
valden,AK005-BAS-M,Paneled Knit Vest,Basalt Grey
valden,AK005-BAS-L,Paneled Knit Vest,Basalt Grey
valden,AK005-BAS-XL,Paneled Knit Vest,Basalt Grey
valden,AK006-ICB-XS,Compact Cardigan,Icefall Blue
valden,AK006-ICB-S,Compact Cardigan,Icefall Blue
valden,AK006-ICB-M,Compact Cardigan,Icefall Blue
valden,AK006-ICB-L,Compact Cardigan,Icefall Blue
valden,AK006-ICB-XL,Compact Cardigan,Icefall Blue
valden,AK006-BAS-XS,Compact Cardigan,Basalt Grey
valden,AK006-BAS-S,Compact Cardigan,Basalt Grey
valden,AK006-BAS-M,Compact Cardigan,Basalt Grey
valden,AK006-BAS-L,Compact Cardigan,Basalt Grey
valden,FSA012-ICB-M,Pulse JR,Icefall Blue
valden,AK006-SLT-XS,Compact Cardigan,Slate
valden,AK006-SLT-S,Compact Cardigan,Slate
valden,AK006-SLT-M,Compact Cardigan,Slate
valden,AK006-SLT-L,Compact Cardigan,Slate
valden,AK006-SLT-XL,Compact Cardigan,Slate
valden,AK006-OBS-XS,Compact Cardigan,Obsidian
valden,AK006-OBS-S,Compact Cardigan,Obsidian
valden,AK006-OBS-M,Compact Cardigan,Obsidian
valden,AK006-OBS-L,Compact Cardigan,Obsidian
valden,AK006-OBS-XL,Compact Cardigan,Obsidian
valden,AK007-BAS-XS,Cable Pullover,Basalt Grey
valden,AK007-BAS-S,Cable Pullover,Basalt Grey
valden,AK007-BAS-M,Cable Pullover,Basalt Grey
valden,AK007-BAS-L,Cable Pullover,Basalt Grey
valden,AK007-BAS-XL,Cable Pullover,Basalt Grey
valden,AK007-FNV-XS,Cable Pullover,Frost Navy
valden,AK007-FNV-S,Cable Pullover,Frost Navy
valden,AK007-FNV-M,Cable Pullover,Frost Navy
valden,AK007-FNV-L,Cable Pullover,Frost Navy
valden,AK007-FNV-XL,Cable Pullover,Frost Navy
valden,AK008-FNV-XS,Mountain Stripe Sweater,Frost Navy
valden,AK008-FNV-S,Mountain Stripe Sweater,Frost Navy
valden,AK008-FNV-M,Mountain Stripe Sweater,Frost Navy
valden,AK008-FNV-L,Mountain Stripe Sweater,Frost Navy
valden,AK008-FNV-XL,Mountain Stripe Sweater,Frost Navy
valden,AK008-ICB-XS,Mountain Stripe Sweater,Icefall Blue
valden,AK008-ICB-S,Mountain Stripe Sweater,Icefall Blue
valden,AK008-ICB-M,Mountain Stripe Sweater,Icefall Blue
valden,AK008-ICB-L,Mountain Stripe Sweater,Icefall Blue
valden,AK008-ICB-XL,Mountain Stripe Sweater,Icefall Blue
valden,AK008-BAS-XS,Mountain Stripe Sweater,Basalt Grey
valden,AK008-BAS-S,Mountain Stripe Sweater,Basalt Grey
valden,AK008-BAS-M,Mountain Stripe Sweater,Basalt Grey
valden,AK008-BAS-L,Mountain Stripe Sweater,Basalt Grey
valden,AK008-BAS-XL,Mountain Stripe Sweater,Basalt Grey
valden,AK009-GLW-XS,Technical Quarter‑Zip,Glacier White
valden,OPP005-OBS-28-28,Traverse Shell Pant,Obsidian
valden,AK009-GLW-M,Technical Quarter‑Zip,Glacier White
valden,AK009-GLW-L,Technical Quarter‑Zip,Glacier White
valden,AK009-GLW-XL,Technical Quarter‑Zip,Glacier White
valden,AK009-OBS-XS,Technical Quarter‑Zip,Obsidian
valden,AK009-OBS-S,Technical Quarter‑Zip,Obsidian
valden,AK009-OBS-M,Technical Quarter‑Zip,Obsidian
valden,AK009-OBS-L,Technical Quarter‑Zip,Obsidian
valden,AK009-OBS-XL,Technical Quarter‑Zip,Obsidian
valden,AK009-SLT-XS,Technical Quarter‑Zip,Slate
valden,AK009-SLT-S,Technical Quarter‑Zip,Slate
valden,AK009-SLT-M,Technical Quarter‑Zip,Slate
valden,AK009-SLT-L,Technical Quarter‑Zip,Slate
valden,AK009-SLT-XL,Technical Quarter‑Zip,Slate
valden,AK010-SRD-XS,Softlock Beanie,Summit Red
valden,AK010-SRD-S,Softlock Beanie,Summit Red
valden,AK010-SRD-M,Softlock Beanie,Summit Red
valden,AK010-SRD-L,Softlock Beanie,Summit Red
valden,AK010-SRD-XL,Softlock Beanie,Summit Red
valden,ABC001-LGR-XS,Paced Trucker Cap,Larch Green
valden,ABC001-LGR-S,Paced Trucker Cap,Larch Green
valden,ABC001-LGR-M,Paced Trucker Cap,Larch Green
valden,ABC001-LGR-L,Paced Trucker Cap,Larch Green
valden,ABC001-LGR-XL,Paced Trucker Cap,Larch Green
valden,ABC001-ICB-XS,Paced Trucker Cap,Icefall Blue
valden,ABC001-ICB-S,Paced Trucker Cap,Icefall Blue
valden,ABC001-ICB-M,Paced Trucker Cap,Icefall Blue
valden,ABC001-ICB-L,Paced Trucker Cap,Icefall Blue
valden,ABC001-ICB-XL,Paced Trucker Cap,Icefall Blue
valden,ABC001-EOR-XS,Paced Trucker Cap,Ember Orange
valden,ABC001-EOR-M,Paced Trucker Cap,Ember Orange
valden,ABC001-EOR-L,Paced Trucker Cap,Ember Orange
valden,ABC001-EOR-XL,Paced Trucker Cap,Ember Orange
valden,ABC001-DWD-XS,Paced Trucker Cap,Driftwood
valden,ABC001-DWD-S,Paced Trucker Cap,Driftwood
valden,ABC001-DWD-M,Paced Trucker Cap,Driftwood
valden,ESA008-SLT-S,Edge,Slate
valden,ABC001-DWD-XL,Paced Trucker Cap,Driftwood
valden,ABC002-ICB-XS,Insulated Peak Cap,Icefall Blue
valden,ABC002-ICB-S,Insulated Peak Cap,Icefall Blue
valden,ABC002-ICB-M,Insulated Peak Cap,Icefall Blue
valden,ABC002-ICB-L,Insulated Peak Cap,Icefall Blue
valden,ABC002-ICB-XL,Insulated Peak Cap,Icefall Blue
valden,ABC002-GLW-XS,Insulated Peak Cap,Glacier White
valden,ABC002-GLW-M,Insulated Peak Cap,Glacier White
valden,ABC002-GLW-L,Insulated Peak Cap,Glacier White
valden,ABC002-GLW-XL,Insulated Peak Cap,Glacier White
valden,ABC003-SLT-XS,Lightweight Field Cap,Slate
valden,ABC003-SLT-S,Lightweight Field Cap,Slate
valden,ABC003-SLT-M,Lightweight Field Cap,Slate
valden,ABC003-SLT-L,Lightweight Field Cap,Slate
valden,ABC003-SLT-XL,Lightweight Field Cap,Slate
valden,ABC003-FNV-XS,Lightweight Field Cap,Frost Navy
valden,ABC003-FNV-S,Lightweight Field Cap,Frost Navy
valden,ABC003-FNV-M,Lightweight Field Cap,Frost Navy
valden,ABC003-FNV-L,Lightweight Field Cap,Frost Navy
valden,ABC003-FNV-XL,Lightweight Field Cap,Frost Navy
valden,ABC003-GLW-XS,Lightweight Field Cap,Glacier White
valden,ABC003-GLW-S,Lightweight Field Cap,Glacier White
valden,ABC003-GLW-M,Lightweight Field Cap,Glacier White
valden,ABC003-GLW-L,Lightweight Field Cap,Glacier White
valden,ABC003-GLW-XL,Lightweight Field Cap,Glacier White
valden,ABC003-SRD-XS,Lightweight Field Cap,Summit Red
valden,ABC003-SRD-S,Lightweight Field Cap,Summit Red
valden,ABC003-SRD-M,Lightweight Field Cap,Summit Red
valden,ABC003-SRD-L,Lightweight Field Cap,Summit Red
valden,ABC003-SRD-XL,Lightweight Field Cap,Summit Red
valden,ABC004-ICB-XS,Kids Trail Cap,Icefall Blue
valden,ABC004-ICB-S,Kids Trail Cap,Icefall Blue
valden,ABC004-ICB-M,Kids Trail Cap,Icefall Blue
valden,ABC004-ICB-L,Kids Trail Cap,Icefall Blue
valden,ABC004-ICB-XL,Kids Trail Cap,Icefall Blue
valden,OPP005-OBS-30-28,Traverse Shell Pant,Obsidian
valden,MAS002-BAS-S,Compact Collapsible Shovel,Basalt Grey
valden,MAS002-BAS-M,Compact Collapsible Shovel,Basalt Grey
valden,MAS002-BAS-L,Compact Collapsible Shovel,Basalt Grey
valden,MAS002-BAS-XL,Compact Collapsible Shovel,Basalt Grey
valden,MAS003-DWD-XS,Wide Blade Technical Shovel,Driftwood
valden,MAS003-DWD-S,Wide Blade Technical Shovel,Driftwood
valden,MAS003-DWD-M,Wide Blade Technical Shovel,Driftwood
valden,MAS003-DWD-XL,Wide Blade Technical Shovel,Driftwood
valden,MAS003-SRD-XS,Wide Blade Technical Shovel,Summit Red
valden,MAS003-SRD-S,Wide Blade Technical Shovel,Summit Red
valden,MAS003-SRD-M,Wide Blade Technical Shovel,Summit Red
valden,MAS003-SRD-L,Wide Blade Technical Shovel,Summit Red
valden,MAS003-SRD-XL,Wide Blade Technical Shovel,Summit Red
valden,MAS003-ICB-XS,Wide Blade Technical Shovel,Icefall Blue
valden,MAS003-ICB-S,Wide Blade Technical Shovel,Icefall Blue
valden,MAS003-ICB-M,Wide Blade Technical Shovel,Icefall Blue
valden,MAS003-ICB-L,Wide Blade Technical Shovel,Icefall Blue
valden,MAS003-ICB-XL,Wide Blade Technical Shovel,Icefall Blue
valden,MM025-OBS-XS,Tech Glide 10-Point,Obsidian
valden,MM025-OBS-S,Tech Glide 10-Point,Obsidian
valden,MM025-OBS-M,Tech Glide 10-Point,Obsidian
valden,MM025-OBS-L,Tech Glide 10-Point,Obsidian
valden,MM025-OBS-XL,Tech Glide 10-Point,Obsidian
valden,MM025-GLW-XS,Tech Glide 10-Point,Glacier White
valden,MM025-GLW-S,Tech Glide 10-Point,Glacier White
valden,MM025-GLW-M,Tech Glide 10-Point,Glacier White
valden,MM025-GLW-L,Tech Glide 10-Point,Glacier White
valden,MM025-GLW-XL,Tech Glide 10-Point,Glacier White
valden,MM025-ICB-XS,Tech Glide 10-Point,Icefall Blue
valden,MM025-ICB-S,Tech Glide 10-Point,Icefall Blue
valden,MM025-ICB-M,Tech Glide 10-Point,Icefall Blue
valden,MM025-ICB-L,Tech Glide 10-Point,Icefall Blue
valden,MM025-ICB-XL,Tech Glide 10-Point,Icefall Blue
valden,MM025-SRD-XS,Tech Glide 10-Point,Summit Red
valden,MM025-SRD-S,Tech Glide 10-Point,Summit Red
valden,OPP005-OBS-32-28,Traverse Shell Pant,Obsidian
valden,MM025-SRD-L,Tech Glide 10-Point,Summit Red
valden,MM025-SRD-XL,Tech Glide 10-Point,Summit Red
valden,ABC005-GLW-XS,Technical Baseball Cap,Glacier White
valden,ABC005-GLW-S,Technical Baseball Cap,Glacier White
valden,ABC005-GLW-M,Technical Baseball Cap,Glacier White
valden,ABC005-GLW-L,Technical Baseball Cap,Glacier White
valden,ABC005-GLW-XL,Technical Baseball Cap,Glacier White
valden,ABC005-FNV-XS,Technical Baseball Cap,Frost Navy
valden,ABC005-FNV-S,Technical Baseball Cap,Frost Navy
valden,ABC005-FNV-L,Technical Baseball Cap,Frost Navy
valden,ABC005-FNV-XL,Technical Baseball Cap,Frost Navy
valden,ABC006-FNV-XS,Urban Softshell Cap,Frost Navy
valden,ABC006-FNV-S,Urban Softshell Cap,Frost Navy
valden,ABC006-FNV-M,Urban Softshell Cap,Frost Navy
valden,ABC006-FNV-L,Urban Softshell Cap,Frost Navy
valden,ABC006-FNV-XL,Urban Softshell Cap,Frost Navy
valden,ABC007-SLT-XS,Packable Rain Cap,Slate
valden,ABC007-SLT-S,Packable Rain Cap,Slate
valden,ABC007-SLT-M,Packable Rain Cap,Slate
valden,ABC007-SLT-L,Packable Rain Cap,Slate
valden,ABC007-SLT-XL,Packable Rain Cap,Slate
valden,ABC007-SRD-XS,Packable Rain Cap,Summit Red
valden,ABC007-SRD-S,Packable Rain Cap,Summit Red
valden,ABC007-SRD-M,Packable Rain Cap,Summit Red
valden,ABC007-SRD-L,Packable Rain Cap,Summit Red
valden,ABC007-SRD-XL,Packable Rain Cap,Summit Red
valden,ABC007-DWD-XS,Packable Rain Cap,Driftwood
valden,ABC007-DWD-S,Packable Rain Cap,Driftwood
valden,ABC007-DWD-M,Packable Rain Cap,Driftwood
valden,ABC007-DWD-L,Packable Rain Cap,Driftwood
valden,ABC007-DWD-XL,Packable Rain Cap,Driftwood
valden,ABC007-GLW-XS,Packable Rain Cap,Glacier White
valden,ABC007-GLW-S,Packable Rain Cap,Glacier White
valden,ABC007-GLW-M,Packable Rain Cap,Glacier White
valden,ABC007-GLW-L,Packable Rain Cap,Glacier White
valden,OPP005-OBS-34-28,Traverse Shell Pant,Obsidian
valden,ABC008-GLW-XS,Merino-Lined Cap,Glacier White
valden,ABC008-GLW-S,Merino-Lined Cap,Glacier White
valden,ABC008-GLW-M,Merino-Lined Cap,Glacier White
valden,ABC008-GLW-L,Merino-Lined Cap,Glacier White
valden,ABC008-GLW-XL,Merino-Lined Cap,Glacier White
valden,ABC008-OBS-XS,Merino-Lined Cap,Obsidian
valden,ABC008-OBS-S,Merino-Lined Cap,Obsidian
valden,ABC008-OBS-M,Merino-Lined Cap,Obsidian
valden,ABC008-OBS-L,Merino-Lined Cap,Obsidian
valden,EKF013-SRD-XS,Slopeborn 106,Summit Red
valden,EKF013-SRD-S,Slopeborn 106,Summit Red
